operator,new
Dominick Ponterero & Sons Coal Co.,dominick_ponterero_sons_coal
William Piccolomini,william_piccolomini
Ford & Gaskill,ford_gaskill
The N. & Z. Co.,the_n_z
Thomas Lee,thomas_lee
Victor P. Smith,victor_p_smith
Lewis Hutchinson Coal CO.,lewis_hutchinson_coal
United Coal Co.,united_coal
Decker Construction Co.,decker_construction
L. & J. Coal Co.,l_j_coal
Bridgeview Coal Co.,bridgeview_coal
Phillips Coal & Coke Co.,phillips_coal_coke
Albert Lawery Coal Co.,albert_lawery_coal
R. & L. Contraction Co.,r_l_contraction
A.H. Sweeney,ah_sweeney
Kazar Coal Co,kazar_coal
Kazar Coal Co,kazar_coal
Mack Coal Co.,mack_coal
M. H. Redd & Sam R. Redd,redd
M. H. Redd & Sam R. Redd,redd
Soberdash Coal & Coke Co.,soberdash_coal_coke
Hay & Norton Coal Co.,hay_norton_coal
Fisher Brothers,fisher_brothers
Rathgeb & Garr,rathgeb_garr
Fisher Brothers,fisher_brothers
Casko Coal Co.,casko_coal
Dragan & Son,dragan_son
William Horton,william_horton
Louis Partazana,louis_partazana
Sudan Coal Co.,sudan_coal
Soberdash Coal & Coke Co.,soberdash_coal_coke
William L. Hill,william_l_hill
Edward James Co.,edward_james
Edward James Co.,edward_james
Dragan & Son,dragan_son
Sudan Coal Co.,sudan_coal
Joseph Vizza,joseph_vizza
C.P. & S. Coal Co.,cp_s_coal
S.C. Hay,sc_hay
Twin River Coal Co.,twin_river_coal
Victory Hill Coal Co.,victory_hill_coal
S. Rider & C.W. Osborn,s_rider_cw_osborn
Louis Partazana,louis_partazana
"Walter Green, Inc.",walter_green
Thomas E. Hacker,thomas_e_hacker
Bortz Coal Co.,bortz_coal
Green Coal Co.,green_coal
Green Coal Co.,green_coal
Marsolino Coal & Coke Co.,marsolino_coal_coke
"Water Green, Inc.",water_green
Paul Lynn & L. Jankawski,paul_lynn_l_jankawski
James White,james_white
Anderson Coal Co.,anderson_coal
L. W. Overly,l_w_overly
